Average R2 Score,Layer1 Neurons,Learning Rate
0.8723010647411513,"[600, 600, 600, 600, 600, 600]",0.0005
0.8716162801534971,"[600, 600, 600, 600, 600, 600]",0.00025
0.8750103103966087,"[600, 600, 600, 600, 600, 600]",0.0005
0.8778388198948762,"[600, 600, 600, 600, 600, 600]",0.00025
0.8744860068254454,"[600, 600, 600, 600, 600, 600]",0.0005
0.875346361687491,"[600, 600, 600, 600, 600, 600]",0.00025
0.8673285599191874,"[600, 600, 600, 600, 600, 600]",0.0005
0.872751146559385,"[600, 600, 600, 600, 600, 600]",0.00025
0.86864899235035,"[700, 700, 700, 700, 700, 700, 700]",0.0005
0.8757114980667831,"[700, 700, 700, 700, 700, 700, 700]",0.00025
0.868411876202091,"[700, 700, 700, 700, 700, 700, 700]",0.0005
0.8748113259316286,"[700, 700, 700, 700, 700, 700, 700]",0.00025
0.8677687580701259,"[700, 700, 700, 700, 700, 700, 700]",0.0005
0.8763917697068773,"[700, 700, 700, 700, 700, 700, 700]",0.00025
0.8665953156250776,"[700, 700, 700, 700, 700, 700, 700]",0.0005
0.8737646991141759,"[700, 700, 700, 700, 700, 700, 700]",0.00025
0.8617903121936233,"[800, 800, 800, 800, 800, 800, 800, 800]",0.0005
0.8711856851791352,"[800, 800, 800, 800, 800, 800, 800, 800]",0.00025
0.8617869096959975,"[800, 800, 800, 800, 800, 800, 800, 800]",0.0005
0.8672179390806637,"[800, 800, 800, 800, 800, 800, 800, 800]",0.00025
0.8644440411492984,"[800, 800, 800, 800, 800, 800, 800, 800]",0.0005
0.8713348069006542,"[800, 800, 800, 800, 800, 800, 800, 800]",0.00025
0.8680311582839239,"[800, 800, 800, 800, 800, 800, 800, 800]",0.0005
0.8702132657605439,"[800, 800, 800, 800, 800, 800, 800, 800]",0.00025
0.8572197023109607,"[900, 900, 900, 900, 900, 900, 900, 900, 900]",0.0005
0.8678446262522187,"[900, 900, 900, 900, 900, 900, 900, 900, 900]",0.00025
0.8617911842609804,"[900, 900, 900, 900, 900, 900, 900, 900, 900]",0.0005
0.8706197620141178,"[900, 900, 900, 900, 900, 900, 900, 900, 900]",0.00025
0.8588138898081661,"[900, 900, 900, 900, 900, 900, 900, 900, 900]",0.0005
0.8689154965089384,"[900, 900, 900, 900, 900, 900, 900, 900, 900]",0.00025
0.8593662114951579,"[900, 900, 900, 900, 900, 900, 900, 900, 900]",0.0005
0.8703543130761036,"[900, 900, 900, 900, 900, 900, 900, 900, 900]",0.00025
