Average R2 Score,Layer1 Neurons,Learning Rate
0.8353370963691502,"[100, 100]",0.001
0.8320543701008887,"[100, 100]",0.0006
0.8284603202791285,"[100, 100]",0.0002
0.8487672088536627,"[100, 100, 100]",0.001
0.8475065432828176,"[100, 100, 100]",0.0006
0.8413945615233659,"[100, 100, 100]",0.0002
0.8350771921145332,"[100, 100, 100, 100]",0.001
0.8482113774402549,"[100, 100, 100, 100]",0.0006
0.8416998414404031,"[100, 100, 100, 100]",0.0002
0.8466567423459744,"[200, 200]",0.001
0.8492607420961851,"[200, 200]",0.0006
0.8414514395097952,"[200, 200]",0.0002
0.8621087652676249,"[200, 200, 200]",0.001
0.8591423987124389,"[200, 200, 200]",0.0006
0.8507880600146926,"[200, 200, 200]",0.0002
0.8597561257041949,"[200, 200, 200, 200]",0.001
0.858704027427767,"[200, 200, 200, 200]",0.0006
0.86075591367342,"[200, 200, 200, 200]",0.0002
0.8512693397316857,"[300, 300]",0.001
0.8503205436968753,"[300, 300]",0.0006
0.847309910502072,"[300, 300]",0.0002
0.8609533984615021,"[300, 300, 300]",0.001
0.8658950718274216,"[300, 300, 300]",0.0006
0.8590631584809063,"[300, 300, 300]",0.0002
0.8646222612222441,"[300, 300, 300, 300]",0.001
0.8724968519915035,"[300, 300, 300, 300]",0.0006
0.869907110603618,"[300, 300, 300, 300]",0.0002
