registryid,siting_metric
['110038736491'],0.010309829784302744
['C50974'],0.010301912517560479
['C3797'],0.010300847425134187
['110070117657'],0.010286423849623449
['110070069045'],0.010245440741881587
['110039543330'],0.010227911090166488
['110071089194'],0.010226015098359865
['110070675644'],0.010190587189999734
['110067660640'],0.010123100944818707
['110038759821'],0.010106481356859206
['110038763102'],0.010103206413551807
['C50835'],0.010089625854488669
['110003433384'],0.010088256284746158
['110020911806'],0.010010492795924135
['110039547176'],0.009999192350939337
['110039058676'],0.009927795148785886
['110064564635'],0.009927513189139373
['C6641'],0.009854524513115791
['110054363808'],0.00984837313850401
['C50888'],0.009802961574008987
['110038760061'],0.00976438121734963
['110065542620'],0.009751541521606845
['110070057741'],0.009704105199421529
['110038759947'],0.009663688470748787
['110004994150'],0.009649977856268241
['110043455276'],0.009581469452080665
['C3403'],0.009567003120536124
['110042300293'],0.009542725011121059
['110017344033'],0.009521892143972277
['110009048155'],0.009515031935426143
['110070789624'],0.009502287283054847
['110039552588'],0.0094786863698564
['110015332898'],0.009439132881628398
['110061039754'],0.009434773931784176
['110038760025'],0.009433083283176415
['110038696658'],0.009414815388680733
['110039555512'],0.009405955024085519
['110038758957'],0.009396515070131143
['110038692778'],0.009388515031643821
['C8102'],0.009372954050665388
['110059827816'],0.009354251777505998
['110067660613'],0.009349199226908198
['110039062304'],0.009342505631501276
['110043315622'],0.009329519051784588
['C55479'],0.00932633169166495
['110054147614'],0.00932102246698093
['110070068631'],0.009312379575452022
['C160'],0.009264285945367212
['110003506242'],0.009256503314290144
['110038705256'],0.009254657181405964
['110055264039'],0.00925277618242752
['110038742947'],0.009229116796765587
['110018750715'],0.009223381475036718
['110067660631'],0.00922289541941456
['C55076'],0.00921416861891089
['C4050'],0.009211683769153003
['C6179'],0.00917551359771132
['C10784'],0.009154789689307562
['C1702'],0.009130833412568365
['C1710'],0.009103558912107266
['110071194789'],0.009097910314090088
['C6264'],0.009096480142602609
['110042111540'],0.009095967334266774
['C2832'],0.009084811278637993
['110054625937'],0.009083036807990132
['110067220545'],0.009071189775580366
['110009678688'],0.009070511169548923
['110056393763'],0.009054701794790143
['110036725238'],0.00904425486548351
['110039063358'],0.0090440705253556
['110040477338'],0.00904188181557928
['110038761836'],0.009030076050904466
['110009446313'],0.00902399626196807
['110038704827'],0.009021448900136203
['110069498252'],0.009005274047455132
['110038697407'],0.009002594859357066
['110039138484'],0.008993664414709463
['110054145457'],0.008986257232499068
['110064565144'],0.008973929957928499
['110042111684'],0.008967972355542178
['110038754791'],0.008963896635131939
['110070258732'],0.008938320405172616
['110043454936'],0.008923816413266715
['110056392746'],0.008906133712468697
['110038698308'],0.008905687640104293
['110041620314'],0.008903168514673557
['110070004595'],0.008889995032719438
['110055085232'],0.008848431284769136
['C3954'],0.008830424975540808
['110039551384'],0.008827468223769083
['C6076'],0.008812337361776685
['110038742019'],0.00876876135194744
['C884'],0.00875411694368761
['110060374223'],0.008750461040813411
['110071090467'],0.008743728964083344
['110071194938'],0.008724966564729014
['110067660622'],0.00871995315132125
['110067221072'],0.008683066784052089
['C3470'],0.008676932927514043
['C50933'],0.00863984675567935
['110071090069'],0.008639120753029384
['110043691957'],0.008633744659375539
['110071194776'],0.008633650762503112
['110071090565'],0.008625394081134418
['110039137706'],0.008597083709447525
['110066849673'],0.008592114446652777
['110046370823'],0.008581217229429831
['110067349033'],0.00857546028422591
['110056393371'],0.008570693381645846
['110038708486'],0.008560960575951477
['110071089250'],0.008560396371854462
['110046370422'],0.008559727659957288
['110038716262'],0.008552799465803958
['110063211126'],0.008547486428542259
['110046370592'],0.008541948847994708
['110057002764'],0.008538447083456087
['110043315962'],0.00853411058959809
['110039529828'],0.00853411058959809
['110063917711'],0.008518412505796272
['110003424303'],0.008511496966373504
['110043315123'],0.008508868990050907
['110070209832'],0.008469944948930754
['110020284672'],0.008463178222129188
['110070258820'],0.008440760102799167
['110039540896'],0.008437468711175108
['110071090056'],0.008435364680306447
['110070789584'],0.008432236048072861
['110043562016'],0.008429027008888295
['C6213'],0.00842086715073707
['110039540878'],0.008404578344402277
['110043242470'],0.008398491377662694
['110060390722'],0.008398491377662694
['110040403676'],0.008395716916147874
['110070068729'],0.008388109146347422
['110037230546'],0.008384340298542887
['110069992100'],0.008382854017153963
['110042302175'],0.008359564472250123
['110069498083'],0.008354760503535704
['110070028577'],0.008335635894478336
['110060755302'],0.008324886365898919
['110030965212'],0.008321888058255608
['C6002'],0.008315344763455244
['110000314669'],0.008313082189255994
['110046369942'],0.008304636750569059
['110003391589'],0.0082854488419932
['110038745052'],0.0082854488419932
['110070789674'],0.00827866374549557
['110063211947'],0.008275824985484518
['110039549673'],0.008275383717772887
['110070384840'],0.008271297762873393
['110071162733'],0.008259049289792623
['110017332251'],0.008242569465995513
['110024994791'],0.008241744451953548
['110038722567'],0.008229908897261102
['110057002693'],0.008215678339148016
['C6181'],0.008206010128653508
