Iteration,Layer Neurons,Learning Rate,Average R2 Score
0,"[300, 300, 250]",0.00077,0.6510618839735858
1,"[300, 300, 250]",0.0006999999999999999,0.6397921306253163
2,"[300, 275, 250]",0.0006999999999999999,0.6447908457234407
3,"[300, 275, 250]",0.0006363636363636362,0.6436078645482581
4,"[325, 275, 250]",0.0006363636363636362,0.6439567218512534
5,"[325, 275, 250]",0.0006363636363636362,0.648882517865559
6,"[325, 250, 250]",0.0006363636363636362,0.6477892875732508
7,"[325, 275, 250]",0.0006363636363636362,0.6445499782489533
8,"[325, 275, 225]",0.0006363636363636362,0.6473061603991301
9,"[325, 300, 225]",0.0006363636363636362,0.6393822543899393
10,"[325, 325, 225]",0.0006363636363636362,0.6442148318700212
11,"[325, 350, 225]",0.0006363636363636362,0.6444000271178365
12,"[325, 350, 225, 225]",0.0006363636363636362,0.651170028770983
13,"[325, 350, 225, 200]",0.0006363636363636362,0.6523375312778481
14,"[350, 350, 225, 200]",0.0006363636363636362,0.654997293787753
