Average R2 Score,Layer1 Neurons,Learning Rate
0.8706103290395169,"[600, 600, 600, 600, 600, 600]",0.0005
0.8668507839403982,"[600, 600, 600, 600, 600, 600]",0.0002
0.8694376119326594,"[600, 600, 600, 600, 600, 600]",0.0005
0.8727049625917493,"[600, 600, 600, 600, 600, 600]",0.0002
0.8759935975244556,"[600, 600, 600, 600, 600, 600]",0.0005
0.8687827029550854,"[600, 600, 600, 600, 600, 600]",0.0002
0.869567746308433,"[600, 600, 600, 600, 600, 600]",0.0005
0.870497789020849,"[600, 600, 600, 600, 600, 600]",0.0002
0.8717581554458379,"[600, 600, 600, 600, 600, 600, 600]",0.0005
0.8704895715781997,"[600, 600, 600, 600, 600, 600, 600]",0.0002
0.8733637440127585,"[600, 600, 600, 600, 600, 600, 600]",0.0005
0.8672703984615053,"[600, 600, 600, 600, 600, 600, 600]",0.0002
0.8702132857368278,"[600, 600, 600, 600, 600, 600, 600]",0.0005
0.8688480241105495,"[600, 600, 600, 600, 600, 600, 600]",0.0002
0.8708215871220333,"[600, 600, 600, 600, 600, 600, 600]",0.0005
0.8736336835599535,"[600, 600, 600, 600, 600, 600, 600]",0.0002
0.8672261606869897,"[600, 600, 600, 600, 600, 600, 600, 600]",0.0005
0.8718657931677941,"[600, 600, 600, 600, 600, 600, 600, 600]",0.0002
0.866280675458748,"[600, 600, 600, 600, 600, 600, 600, 600]",0.0005
0.8720161264618238,"[600, 600, 600, 600, 600, 600, 600, 600]",0.0002
0.8631428808202343,"[600, 600, 600, 600, 600, 600, 600, 600]",0.0005
0.8702238303491284,"[600, 600, 600, 600, 600, 600, 600, 600]",0.0002
0.852739887390124,"[600, 600, 600, 600, 600, 600, 600, 600]",0.0005
0.8726295092598402,"[600, 600, 600, 600, 600, 600, 600, 600]",0.0002
0.8560838469849668,"[600, 600, 600, 600, 600, 600, 600, 600, 600]",0.0005
0.8673157813760899,"[600, 600, 600, 600, 600, 600, 600, 600, 600]",0.0002
0.8658382497499876,"[600, 600, 600, 600, 600, 600, 600, 600, 600]",0.0005
0.8704450190373995,"[600, 600, 600, 600, 600, 600, 600, 600, 600]",0.0002
0.8647683054171005,"[600, 600, 600, 600, 600, 600, 600, 600, 600]",0.0005
0.8682426122101133,"[600, 600, 600, 600, 600, 600, 600, 600, 600]",0.0002
0.8614664259114698,"[600, 600, 600, 600, 600, 600, 600, 600, 600]",0.0005
0.8711623056040589,"[600, 600, 600, 600, 600, 600, 600, 600, 600]",0.0002
